IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
933,9.602383,53.389010,2,50,0,0
934,11.790056,52.541125,2,50,0,0
935,13.335280,53.877234,2,30,0,0
936,13.446018,53.810028,2,80,0,0
937,9.799913,52.444995,2,50,0,0
938,13.439458,52.411789,2,30,0,0
939,10.592462,52.970570,2,50,0,0
940,10.591475,52.970049,2,50,0,0
941,10.040455,53.566706,2,50,0,0
942,10.040117,53.566518,2,50,0,0
943,10.309273,53.933779,2,50,0,0
944,13.580904,52.784103,2,120,0,0
945,9.733727,52.417602,2,50,0,0
946,9.733396,52.418109,2,50,0,0
947,12.902956,53.699940,2,50,0,0
948,9.781680,52.424838,2,50,0,0
949,12.786776,53.533479,2,70,0,0
950,12.783995,53.532714,2,70,0,0
951,12.180941,54.102105,2,50,0,0
952,12.150647,54.090961,2,50,0,0
953,12.068948,54.151825,2,60,0,0
954,11.766892,52.746866,2,50,0,0
955,11.765662,52.751787,2,50,0,0
956,13.417665,54.079839,2,50,0,0
957,13.417371,54.079993,2,50,0,0
958,13.437285,54.089963,2,50,0,0
959,12.566047,52.401527,2,50,0,0
960,12.566115,52.401434,2,50,0,0
961,12.405344,52.406660,2,30,0,0
962,12.560405,52.416757,2,30,0,0
963,12.531874,52.422872,2,50,0,0
964,12.531557,52.423160,2,50,0,0
965,12.544832,52.408206,2,30,0,0
966,12.544832,52.408206,2,30,0,0
967,12.205390,53.232195,2,50,0,0
968,13.394084,53.572195,2,50,0,0
969,13.394084,53.572195,2,50,0,0
970,13.496928,53.637359,2,70,0,0
971,13.496928,53.637359,2,70,0,0
972,13.880128,54.070415,2,100,0,0
973,13.634148,54.368994,2,50,0,0
974,13.633815,54.368984,2,50,0,0
975,13.506766,54.482973,2,50,0,0
976,13.613217,54.514778,2,50,0,0
977,13.401011,54.094732,2,50,0,0
978,13.398628,54.094834,2,50,0,0
979,12.783844,54.124664,2,80,0,0
980,12.771326,54.114851,2,80,0,0
981,12.783050,54.123963,2,80,0,0
982,12.772450,54.115689,2,80,0,0
983,13.977556,53.518277,2,50,0,0
984,14.013591,53.516018,2,50,0,0
985,13.983054,53.490994,2,70,0,0
986,10.478177,52.705799,2,70,0,0
987,10.467011,52.665668,2,100,0,0
988,10.467011,52.665668,2,100,0,0
989,10.484199,52.607698,2,70,0,0
990,10.484199,52.607698,2,70,0,0
991,10.512167,52.554307,2,70,0,0
992,10.512167,52.554307,2,70,0,0
993,9.935343,52.792690,2,70,0,0
994,10.202800,54.331412,2,50,0,0
995,10.125955,54.321083,2,50,0,0
996,10.046581,53.680561,2,50,0,0
997,13.413948,52.553628,2,50,0,0
998,8.712815,52.949840,2,50,0,0
999,12.976330,52.573841,2,50,0,0
1000,9.795708,53.462781,2,50,0,0
1001,9.323177,53.542796,2,70,0,0
1002,9.835871,53.601386,2,50,0,0
